metadata,,,,,,,
variable,description,unit,,,,,
CHLA,,,,,,,
Treatment,"NS = no snails, S = snails, A = ambient",,,,,,
SampleName,CHLA ,OM ,ErosDep ,Block,Treatment,Time ,DateCollected
1NST0,211.52,3.207331042,0,1,NS,T0,
1ST0,50.51,1.363636364,0,1,S,T0,
1AT0,182.08,2.244897959,0,1,A,T0,
2NST0,137.22,3.58974359,0,2,NS,T0,
2ST0,201.65,4.228855721,0,2,S,T0,
2AT0,137.03,2.366863905,0,2,A,T0,
3NST0,110.5,2.105263158,0,3,NS,T0,
3ST0,132.92,2.268041237,0,3,S,T0,
3AT0,155.84,3.3126294,0,3,A,T0,
4NST0,83.3,2.931228861,0,4,NS,T0,
4ST0,109.39,3.085714286,0,4,S,T0,
4AT0,118.21,2.45398773,0,4,A,T0,
5NST0,86.6,3.657142857,0,5,NS,T0,
5ST0,112.39,3.462321792,0,5,S,T0,
5AT0,104.87,2.597402597,0,5,A,T0,
6NST0,106.44,4.02075227,0,6,NS,T0,
6ST0,102.31,2.522704339,0,6,S,T0,
6AT0,104.74,4.609475032,0,6,A,T0,
7NST0,136.03,3.970741902,0,7,NS,T0,
7ST0,114.67,3.215077605,0,7,S,T0,
7AT0,162.22,3.203661327,0,7,A,T0,
8NST0,282.77,4.473304473,0,8,NS,T0,
8ST0,185.41,4.305555556,0,8,S,T0,
8AT0,211.42,3.278688525,0,8,A,T0,
9NST0,106.16,2.956705385,0,9,NS,T0,
9ST0,143.92,3.25203252,0,9,S,T0,
9AT0,144.44,2.478448276,0,9,A,T0,
10NST0,132.13,2.339181287,0,10,NS,T0,
10ST0,80.18,3.480278422,0,10,S,T0,
10AT0,139.88,3.529411765,0,10,A,T0,
1AT14,714.18,3.748488513,N/A,1,A,T14,
2NST14,760.67,14.28571429,N/A,2,NS,T14,
2AT14,590.43,2.362204724,-24,2,A,T14,
3ST14,644.32,5.614973262,95,3,S,T14,
3AT14,575.79,2.073050346,n/a,3,A,T14,
4ST14,556.29,9.134615385,-33,4,S,T14,
4AT14,569.7,3.103103103,n/a,4,A,T14,
5NST14,890.58,5.940594059,14,5,NS,T14,
5ST14,628.28,5.639097744,-60,5,S,T14,
5AT14,585.47,2.912621359,n/a,5,A,T14,
6NST14,949.73,9.902597403,-30,6,NS,T14,
6ST14,967.44,8.801213961,-57,6,S,T14,
6AT14,636.86,4.391891892,13,6,A,T14,
7NST14,922.69,9.212730318,n/a,7,NS,T14,
7ST14,908.37,11.60714286,-59,7,S,T14,
7AT14,761.78,3.797468354,n/a,7,A,T14,
8NST14,889.86,10.79429735,n/a,8,NS,T14,
8ST14,652.77,10.66176471,0,8,S,T14,
8AT14,1052.05,3.703703704,2.1,8,A,T14,
9NST14,809.7,9.717314488,6.1,9,NS,T14,
9ST14,555.72,4.219409283,0,9,S,T14,
9AT14,544.11,11.60092807,80,9,A,T14,
10NST14,729.62,7.715133531,5.7,10,NS,T14,
10ST14,771.65,6.654343808,-10,10,S,T14,
10AT14,684.05,6.076388889,0,10,A,T14,
